major_id,sequence_number,name,description,is_active,notes,effective_term_id,end_term_id,required_course_id
1,1,ACCT-300 - Cost Accounting I,,true,,177,,10
1,1,FIN-299: Financial Management I,,true,,10,,62
1,2,ACCT-310 - Accounting Principles I,,true,,177,,11
1,3,ACCT-312 - Accounting Principles II,,true,,177,,12
1,4,ACCT-313 - Accounting Principles III,,true,,177,,13
1,5,ANTH-102 - Cultural Anthropology,,true,,177,,15
1,6,ARIL-210 - Academic Research: Information Literacy,,true,,177,,16
1,7,BUS-360 - Management and Organizational Behavior Theory,,true,,177,,17
1,8,BUS-425 - Business Formation and Entrepreneurship,,true,,177,,18
1,9,BUS-460 - Fundamental of Global Business Management,,true,,177,,19
1,10,BUS-461 - Business Planning and Policy Development,,true,,177,,20
1,11,BUS-463 - Operation Management,,true,,177,,21
1,12,BUS-464 - Human Resource Management,,true,,177,,22
1,13,BUS-465 - Labor & Industrial Relations,,true,,177,,23
1,14,BUS-489 - Senior Project,,true,,177,,95
1,15,COMP-210 - Introduction to Computers,,true,,177,,285
1,16,ECON-101 - Introduction to Economics and Entrepreneurship,,true,,177,,26
1,17,ECON-211 - Microeconomic Principles,,true,,177,,27
1,18,ECON-212 - Macroeconomic Principles,,true,,177,,28
1,19,ENGL-110 - College English I: Reading & Composition,,true,,177,,46
1,20,ENGL-120 - College English II: Reading & Composition,,true,,177,,47
1,21,ENGL-210 - Fundamentals of Communication,,true,,177,,53
1,22,ENGL-311 - Technical Writing for Business,,true,,177,,58
1,24,FIN-351 - Budget Technique and Procedures,,true,,177,,64
1,25,FIN-375 - Fiscal Legislation and Taxation,,true,,177,,66
1,26,FIN-420 - Financial Management II,,true,,177,,67
1,27,HF-101 - Health Education I,,true,,177,,75
1,28,HIST-230 - History of Cambodia,,true,,177,,77
1,29,KHMR-210 - Introduction to Khmer Studies,,true,,177,,84
1,30,LAW-273 - Business Law,,true,,177,,85
1,31,MATH-101 - College Algebra,,true,,177,,91
1,32,MGT-210 - Management Principles,,true,,177,,92
1,33,MGT-466 - Management and Leadership Development Skills,,true,,177,,93
1,34,MGT-467 - Administrative Procurement and Negotiation Skills,,true,,177,,94
1,35,MKT-220 - Introduction to Marketing,,true,,177,,96
1,36,NATS-102 - Introduction to Environmental Science,,true,,177,,97
1,37,PHIL-110 - Logic & Critical Thinking,,true,,177,,100
1,38,PHIL-312 - Introduction to Ethics,,true,,177,,103
1,39,POL-101 - Introduction to Political Science,,true,,177,,104
1,40,POL-201A - ASEAN Government, Politics and Economics,,true,,177,,106
1,41,PSYC-102 - Personal Growth and Development,,true,,177,,113
1,42,SOC-110 - Gender Studies,,true,,177,,115
1,43,STAT-105 - Introduction to Statistics,,true,,177,,117
3,1,ACCT-310 - Accounting Principles I,Required course for Tourism & Hospitality degree program,true,Imported from ba_req.csv column 'tou',177,,11
