course_code	BAD	THM	FIN	TES	INT	course_title
ACCT-300	X		X			"Intro to Pub Policy & Admin"
ACCT-310	X	X	X			"English Eff Comm"
ACCT-312	X	X	X			"Intro to TESOL"
ACCT-313	X		X			"Research Methods/Adv Writing"
ANTH-102	X	X	X	X	X	"Intro Edu Phil"
ARIL-210	X	X	X	X	X	"Intro to Lang Acq"
BUS-360	X					"Financial Management II"
BUS-425	X					"Intro to Assessment"
BUS-460	X					"Methodology in TESOL II"
BUS-461	X					"Intro to Curr & Mat Design"
BUS-463	X					"Financial Institutions"
BUS-464	X					"Eng for Prof Testing"
BUS-465	X					"Globalization"
BUS-489	X					"Practicum in TESOL"
COMP-210	X	X	X	X	X	"Listening & Speaking"
ECON-101	X		X	X	X	"Intro to Buddhism"
ECON-211	X		X			"Seminar in TESOL"
ECON-212	X					"Princ of Public Finance"
ECON-310					X	"Phonetics & Pronuncation"
ECON-368					X	"Dev & Mgmt of Attractions"
ECON-425			X			"Hosp Sales & Promo"
ECON-449			X			"Fund of Bus & Entrep"
ECON-455					X	"Hosp Oper Mgmt"
ECON-456			X			"Customer Service"
ECON-459					X	"Front Office"
EDUC-300				X		"Financial Management I"
EDUC-301				X		"Event Mgmt"
EDUC-400				X		"Acctg II"
EDUC-401				X		"Human Res Mgmt/Hosp Super"
EDUC-403				X		"Labor & IR"
EDUC-404				X		"Tech Writing for Bus"
EDUC-405				X		"English I"
EDUC-407				X		"Comp Pol System"
EDUC-408				X		"Hist of Cambodia"
ENGL-110	X	X	X	X	X	"Logic & Crit Thinking"
ENGL-120	X	X	X	X	X	"Intro to Computers"
ENGL-130				X		"Env Science"
ENGL-140				X		"Intro to Ethics"
ENGL-200				X		"Intro to Econ/Tour Econ"
ENGL-200A				X		"Int'l Organizations"
ENGL-201A				X		"Intro to Law"
ENGL-210	X		X	X	X	"Intro to Pol Sci"
ENGL-301				X		"Gender"
ENGL-302A				X		"Acctg I"
ENGL-303				X		"Research Methods/Adv Writing"
ENGL-306				X		"Intro to Stats"
ENGL-311	X		X			"Khmer Studies"
ENGL-401A				X		"Mgmt Principles"
ENGL-403				X		"Pers Growth"
ENGL-450				X		"Theories of Intl Pol"
FIN-299	X		X			"World Civ"
FIN-351	X		X			"Fund of Communications"
FIN-360			X			"Health Ed"
FIN-375	X		X			"College Algebra"
FIN-420	X		X			"Cult Anthropology"
FIN-442A			X			"Fund of Bus & Entrep"
FIN-443			X			"Budgeting"
FIN-444			X			"Modern Diplomacy"
FIN-445			X			"Adv Conversation"
FIN-453			X			"Micro Econ Prin"
FIN-489			X			"Fund of Global Business"
HF-101	X	X	X	X	X	"Oper Mgmt"
HIST-101				X	X	"Intl Econ/Intl Finance"
HIST-230	X	X	X	X	X	"BUS Senior Project"
IR-479					X	"Cont Pol Theory"
IR-480					X	"Fiscal Leg & Taxation"
IR-481					X	"Intro to Lit"
IR-482					X	"Pol Economy"
IR-485					X	"Intl Law"
IR-489					X	"Econ Dev"
KHMR-210	X	X	X	X	X	"Intl Bus Transactions"
LAW-273	X		X			"Comparative Econ Systems"
LAW-301					X	"Comm Fascism & Democracy"
LAW-304					X	"UN System"
LAW-305					X	"IR Senior Project"
LIT-325				X		"Acctg III"
MATH-101	X	X	X	X	X	"Adv English: Grammar"
MGT-210	X	X	X			"English Syntax"
MGT-466	X	X	X			"Mkt Principles"
MGT-467	X					"Macro Econ Prin"
MKT-220	X		X			"Human Rights"
NATS-102	X	X	X		X	"Financial Management I"
PAD-110					X	"Research & Acad Writing"
PHIL-110	X	X	X	X	X	"Pol Sys Major Asian Nations"
PHIL-210					X	"Cost Acctg I"
PHIL-213				X		"Pol & Econ Major Powers"
PHIL-312	X	X	X	X	X	"Business Law"
POL-101	X	X	X	X	X	"Investment Princ"
POL-120					X	"Intro to Philosophy"
POL-302					X	"Bus Decision Anal"
POL-304					X	"Theories of IR"
POL-305					X	"Bank Oper"
POL-306					X	"Intl Econ & Finance"
POL-405					X	"Econ Anal of Pub Finance"
POL-413					X	"Money & Banking"
PSYC-102	X	X	X	X	X	"FIN Senior Project"
PSYC-313				X		"Mgmt & OB"
SOC-110	X	X	X	X	X	"Bus Planning/Bus Decision Anal"
SOC-429					X	"Mgmt & Leadership Skills"
STAT-105	X		X	X	X	"Intl Bus Transactions"
THM-215		X				"Comp Lit"
THM-225		X				"Intro to Transl"
THM-311		X				"English II"
THM-312		X				"Foundation of Educ"
THM-313		X				"Educ & Char Building"
THM-314		X				"Risk Mgmt & Insurance"
THM-321		X				"Acad Research"
THM-322		X				"Tourism & Cult Her"
THM-323		X				"Human Res Mgmt/Hosp Super"
THM-324		X				"Mkt Principles"
THM-331		X				"Intro to Tour & Hosp"
THM-332		X				"Tourism Econ"
THM-411		X				"ASEAN Tourism Products"
THM-412		X				"Intro to Stats"
THM-413		X				"Fund of Communications"
THM-414		X				"Research Methods/Adv Writing"
THM-421		X				"Ecotourism"
THM-422		X				"Travel Agency & Tour Oper"
THM-423		X				"Writing Dev"
THM-424		X				"Tour Policy & Plan"
THM-431		X				"Financial Management II"
THM-432		X				"Tour & Hosp Ind Internship"
THM-433		X				"THM Senior Project"The
