Order,Course Code,Short Name
1,ENGL-110,College English I
2,ENGL-120,College English II
1,MATH-101,College Algebra
2,STAT-105/THM-331,Introduction to Statistics/Statistic for Tourism
1,ECON-101/ECON-310A/THM-314,Introduction to Economics & Entrepreneurships/Tourism Economics
2,ECON-211,Microeconomic Principles
3,ECON-212,Macroeconomic Principles
1,ACCT-310,Accounting I
2,ACCT-312,Accounting II
3,ACCT-313,Accounting III
4,ACCT-300,Cost Accounting I
1,FIN-299,Financial Management I/Hospitality Accounting & Financial Management
2,FIN-420,Financial Management II/Hospitality Management & Cost Analysis
1,THM-332,Financial Management I/Hospitality Accounting & Financial Management
2,THM-414,Financial Management II/Hospitality Management & Cost Analysis
1,ENGL-303,English Syntax
2,ENGL-301,Advanced Grammar
1,ENGL-306,Introduction to Literature
2,LIT-325,Comparative Literature
1,EDUC-400,Introduction to TESOL
2,EDUC-403,Methodology in TESOL II
3,EDUC-407,Seminar in TESOL
1,LAW-301,Introduction to Law
2,LAW-304,International Law
1,ARIL-210,Academic Research: Information Literacy
2,ENGL-201A,Writing Development
3,ENGL-302A,Advanced Writing
,,
1,ARIL-210,Academic Research: Information Literacy
2,ENGL-311,Technical Writing for Business
,,
1,ARIL-210,Academic Research: Information Literacy
2,SOC-429,Research Methods in Social Science
2,THM-421,Research Methods in Hospitality & Tourism
